AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
-0.3809;0.0000;False;False;-86.5000;-86.5000;0.0456;0.0456;-65.1000;-65.1000;0.0063;0.0063;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;873658;71.84444;4388.52;-86.8871;54.3597;1.2338;1.1915;-65.0029;77.2636;352.5061;352.5054;359.6873;187.1506;359.9768;0.0140;;;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.5, -0.3, 0.8)_0.9267149_System.String[];0.0000;0.0209;-0.0168
-0.4643;0.0000;False;False;-86.5000;-86.5000;0.0459;0.0459;-65.1000;-65.1000;0.0066;0.0066;359.5096;359.5096;0.0000;0.0000;0.0000;0.0036;0.0036;0.0000;0.0000;0.0000;873662;64.64546;4388.59;-86.8871;54.3597;1.2342;1.1932;-65.0029;77.2635;352.5067;352.5099;359.6873;187.1505;359.9768;0.0136;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.3)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.5, -0.3, 0.8)_0.9267149_System.String[];0.0703;0.0209;-0.0164
-0.6719;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0059;0.0059;359.5096;359.5096;0.0000;0.0000;0.0000;0.0013;0.0013;0.0000;0.0000;0.0000;873667;69.18268;4388.66;-86.8871;54.3596;1.2344;1.1941;-65.0029;77.2635;352.5061;352.5107;359.6873;187.1505;359.9768;0.0133;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.5, -0.3, 0.8)_0.9267149_System.String[];0.1401;0.0209;-0.0152
-0.7109;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.1000;-65.1000;0.0048;0.0048;359.5096;359.5096;0.0000;0.0000;0.0000;0.0005;0.0005;0.0000;0.0000;0.0000;873672;70.75788;4388.73;-86.8871;54.3596;1.2345;1.1946;-65.0029;77.2634;352.5051;352.5098;359.6873;187.1482;359.9768;0.0132;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.5, -0.3, 0.8)_0.9267149_System.String[];0.2104;0.0209;-0.0138
-0.7617;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.1000;-65.1000;0.0038;0.0038;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;873677;71.40034;4388.80;-86.8871;54.3596;1.2345;1.1948;-65.0029;77.2634;352.5040;352.5082;359.6873;187.1479;359.9768;0.0131;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.5, -0.3, 0.8)_0.9267149_System.String[];0.2798;0.0209;-0.0127
-0.8125;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.1000;-65.1000;0.0028;0.0028;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;873682;71.67921;4388.87;-86.8871;54.3596;1.2345;1.1949;-65.0029;77.2634;352.5031;352.5064;359.6873;187.1479;359.9768;0.0130;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.6, -0.3, 0.8)_0.9267149_System.String[];0.3496;0.0209;-0.0126
-0.8242;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0021;0.0021;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;873687;69.59837;4388.94;-86.8871;54.3596;1.2345;1.1949;-65.0029;77.2635;352.5023;352.5049;359.6873;187.1465;359.9768;0.0130;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.8, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.6, -0.3, 0.8)_0.9267149_System.String[];0.4214;0.0209;-0.0126
-0.7890;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0016;0.0016;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;873692;70.8343;4389.01;-86.8871;54.3596;1.2344;1.1949;-65.0029;77.2634;352.5017;352.5035;359.6873;187.1446;359.9768;0.0129;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.6, -0.3, 0.8)_0.9267149_System.String[];0.4917;0.0209;-0.0126
-0.6523;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0012;0.0012;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;873697;68.08539;4389.09;-86.8871;54.3596;1.2344;1.1949;-65.0029;77.2635;352.5013;352.5026;359.6873;187.1439;359.9768;0.0129;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.5, -0.3, 0.8)_0.9267149_System.String[];0.5645;0.0209;-0.0126
-0.3968;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0010;0.0010;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;873702;68.42239;4389.16;-86.8871;54.3596;1.2344;1.1948;-65.0029;77.2635;352.5011;352.5020;359.6873;187.1450;359.9768;0.0129;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.6, 0.5, -0.6, 0.1)_0.9363145_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.7, 0.4, -0.5, 0.2)_0.9267149_System.String[];HandRight_(0.1, -0.4, -0.4)_(0.0, 0.6, 0.5, -0.6)_0.9363145_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.5, -0.3, 0.8)_0.9267149_System.String[];0.6362;0.0209;-0.0126
