AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.2978;-0.2976;False;False;-86.5000;54.0003;0.0459;0.0449;-65.1000;77.4034;0.0066;0.0105;359.5096;187.2493;0.0000;0.0006; ; ; ; ; ; ;327190;72.00258;Infinity;4362.07;-86.8484;54.3521;1.1442;1.1716;-64.9907;77.3187;352.5073;352.5156;358.7554;185.0756;0.0984;0.2840;;;HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.5, -0.5, -0.5, 0.6)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.2, -0.7)_1.045341_System.String[];0.0000;0.0141;-0.0257;-86.8891;54.3299;1.2076;1.1871;-64.9819;77.1448;359.2700;1.9971;1.9743;194.7907;1.1007;354.9760
0.3193;-0.3095;False;False;-86.5000;54.0003;0.0461;0.0455;-65.0992;77.4034;0.0036;0.0108;359.5104;187.2493;0.0001;0.0005;0.0000;0.0022;0.0094;0.0307;0.0000;0.0000;327193;66.57496;Infinity;4362.12;-86.8484;54.3521;1.1443;1.1722;-64.9904;77.3187;352.5057;352.5162;358.7560;185.0757;0.0984;0.2838;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.5, -0.5, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, 0.7, 0.2, -0.7)_1.045341_System.String[];0.0508;0.0141;-0.0257;-86.8889;54.3285;1.2078;1.1862;-64.9816;77.1479;359.3857;2.6845;2.0481;195.6621;1.0990;354.9092
0.3379;-0.3174;False;False;-86.5000;54.0003;0.0461;0.0458;-65.0971;77.4034;-0.0017;0.0103;359.5117;187.2493;0.0002;0.0004;0.0000;0.0012;0.0063;0.0588;0.0000;-0.0001;327196;69.1166;Infinity;4362.16;-86.8484;54.3521;1.1444;1.1726;-64.9888;77.3186;352.5009;352.5159;358.7572;185.0757;0.0986;0.2836;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.5, -0.5, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, 0.7, 0.2, -0.7)_1.045341_System.String[];0.0923;0.0141;-0.0257;-86.8885;54.3272;1.2079;1.1856;-64.9800;77.1503;359.4969;3.0877;2.1104;196.2087;1.0784;354.9202
0.3550;-0.3135;False;False;-86.5000;54.0003;0.0461;0.0460;-65.0936;77.4034;359.9917;0.0095;359.5134;187.2493;0.0003;0.0003;0.0000;0.0005;0.0041;0.0929;0.0001;-0.0002;327199;70.49301;Infinity;4362.20;-86.8484;54.3521;1.1445;1.1728;-64.9859;77.3187;352.4947;352.5151;358.7586;185.0757;0.0987;0.2836;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.5, -0.5, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.3, -0.7)_1.045341_System.String[];0.1338;0.0141;-0.0254;-86.8882;54.3261;1.2079;1.1848;-64.9771;77.1522;359.5818;3.3585;2.1623;196.6366;1.0775;354.9304
0.3696;-0.2897;False;False;-86.5000;54.0003;0.0462;0.0461;-65.0886;77.4034;359.9845;0.0085;359.5152;187.2493;0.0004;0.0002;0.0000;-0.0001;0.0019;0.1418;0.0001;-0.0004;327202;71.21903;Infinity;4362.24;-86.8484;54.3521;1.1445;1.1729;-64.9815;77.3187;352.4876;352.5142;358.7604;185.0757;0.0989;0.2836;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.5, -0.5, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.3, -0.7)_1.045341_System.String[];0.1758;0.0141;-0.0247;-86.8880;54.3252;1.2080;1.1842;-64.9728;77.1539;359.6426;3.5439;2.1796;196.9550;1.0616;354.9552
0.3828;-0.2500;False;False;-86.5000;54.0003;0.0461;0.0461;-65.0822;77.4034;359.9774;0.0074;359.5170;187.2493;0.0005;0.0002;0.0000;-0.0003;0.0010;0.1799;0.0001;-0.0005;327205;71.60125;Infinity;4362.28;-86.8484;54.3521;1.1445;1.1730;-64.9757;77.3187;352.4804;352.5131;358.7621;185.0757;0.0991;0.2835;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.6, -0.5, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.3, -0.7)_1.045341_System.String[];0.2173;0.0141;-0.0240;-86.8878;54.3243;1.2080;1.1838;-64.9670;77.1554;359.6768;3.6776;2.1943;197.1972;1.0186;355.0016
0.3938;-0.2301;False;False;-86.5001;54.0003;0.0461;0.0462;-65.0741;77.4034;359.9707;0.0063;359.5190;187.2493;0.0005;0.0001;0.0000;-0.0004;0.0004;0.2150;0.0001;-0.0006;327208;71.78926;Infinity;4362.32;-86.8485;54.3521;1.1445;1.1731;-64.9683;77.3187;352.4735;352.5120;358.7640;185.0757;0.0993;0.2835;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.6, -0.5, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.3, -0.7)_1.045341_System.String[];0.2588;0.0141;-0.0233;-86.8877;54.3237;1.2077;1.1835;-64.9595;77.1567;359.7578;3.6634;2.2197;197.3568;1.0263;355.1093
0.4033;-0.2143;False;False;-86.5001;54.0003;0.0461;0.0462;-65.0645;77.4034;359.9647;0.0054;359.5214;187.2493;0.0006;0.0001;0.0000;-0.0004;0.0000;0.2528;0.0001;-0.0007;327211;71.89866;Infinity;4362.37;-86.8485;54.3521;1.1445;1.1731;-64.9594;77.3187;352.4673;352.5110;358.7662;185.0757;0.0995;0.2835;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.6, -0.5, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.3, -0.7)_1.045341_System.String[];0.3008;0.0141;-0.0229;-86.8877;54.3231;1.2074;1.1832;-64.9506;77.1578;359.8265;3.4438;2.2298;197.3037;1.0672;355.3976
0.4138;-0.1786;False;False;-86.5001;54.0003;0.0461;0.0462;-65.0533;77.4034;359.9592;0.0045;359.5242;187.2493;0.0007;0.0001;0.0000;-0.0004;-0.0002;0.2909;0.0000;-0.0008;327214;71.94355;Infinity;4362.41;-86.8485;54.3521;1.1445;1.1731;-64.9488;77.3187;352.4616;352.5101;358.7689;185.0757;0.0996;0.2836;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.6, -0.4, -0.5, 0.5)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.3, -0.7)_1.045341_System.String[];0.3423;0.0141;-0.0228;-86.8877;54.3232;1.2072;1.1834;-64.9399;77.1586;359.8942;2.9701;2.2362;196.7095;1.1142;356.0772
0.4240;-0.1587;False;False;-86.5001;54.0003;0.0461;0.0462;-65.0404;77.4034;359.9544;0.0037;359.5273;187.2493;0.0007;0.0001;0.0000;-0.0004;-0.0003;0.3297;0.0000;-0.0009;327217;71.97032;Infinity;4362.45;-86.8485;54.3521;1.1445;1.1731;-64.9365;77.3187;352.4566;352.5093;358.7719;185.0757;0.0998;0.2836;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.5, -0.5, -0.1)_1.057729_System.String[];HandLeft_(-0.1, -0.2, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.045341_System.String[];HandRight_(0.0, -0.3, -0.2)_(-0.7, -0.4, -0.5, 0.4)_1.057729_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.1, 0.7, 0.3, -0.7)_1.045341_System.String[];0.3838;0.0141;-0.0224;-86.8877;54.3240;1.2071;1.1836;-64.9277;77.1590;359.9836;2.3764;2.2347;195.5129;1.1661;356.9835
