AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0454;0.0454;-65.1000;-65.1000;0.0058;0.0058;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;338100;71.91516;3713.34;-86.8839;54.3756;1.2142;1.1190;-64.9603;77.2108;352.5269;352.5201;355.1423;192.6585;0.5691;359.2959;;;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.5)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.0000;0.0250;0.0068
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0458;0.0458;-65.0999;-65.0999;0.0065;0.0065;359.5103;359.5103;0.0000;0.0000;0.0000;0.0044;0.0044;-0.0007;-0.0007;0.0000;338104;65.10384;3713.41;-86.8839;54.3755;1.2147;1.1227;-64.9603;77.2106;352.5280;352.5341;355.1427;192.6586;0.5690;359.2965;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.5)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.0698;0.0250;0.0068
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0061;0.0061;359.5098;359.5098;0.0000;0.0000;0.0000;0.0023;0.0023;0.0005;0.0005;0.0000;338109;69.58999;3713.48;-86.8839;54.3755;1.2150;1.1249;-64.9603;77.2104;352.5278;352.5410;355.1430;192.6579;0.5690;359.2967;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.6)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.1392;0.0250;0.0068
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0052;0.0052;359.5101;359.5101;0.0000;0.0000;0.0000;0.0007;0.0007;-0.0004;-0.0004;0.0000;338114;71.12092;3713.55;-86.8839;54.3755;1.2151;1.1262;-64.9603;77.2103;352.5269;352.5432;355.1431;192.6591;0.5691;359.2966;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.6)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.2087;0.0250;0.0068
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0042;0.0042;359.5101;359.5101;0.0000;0.0000;0.0000;0.0001;0.0001;0.0002;0.0002;0.0000;338119;71.23513;3713.62;-86.8839;54.3755;1.2151;1.1268;-64.9603;77.2102;352.5259;352.5433;355.1421;192.6601;0.5692;359.2964;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.5)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.2788;0.0250;0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0032;0.0032;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0007;-0.0007;0.0000;338124;71.7472;3713.69;-86.8839;54.3754;1.2151;1.1272;-64.9603;77.2102;352.5249;352.5419;355.1426;192.6591;0.5693;359.2961;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.1)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.6)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.3481;0.0250;0.0052
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0026;0.0026;359.5109;359.5109;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0012;-0.0012;0.0000;338129;71.9164;3713.76;-86.8839;54.3754;1.2151;1.1273;-64.9603;77.2101;352.5242;352.5401;355.1434;192.6586;0.5693;359.2958;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.1)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.6)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.4177;0.0250;0.0030
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0018;0.0018;359.5100;359.5100;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0004;0.0004;0.0000;338134;71.7179;3713.83;-86.8839;54.3754;1.2151;1.1274;-64.9603;77.2101;352.5235;352.5387;355.1426;192.6583;0.5694;359.2956;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.6)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.4875;0.0250;0.0020
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0014;0.0014;359.5109;359.5109;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0011;0.0011;0.0000;338139;71.66979;3713.90;-86.8839;54.3754;1.2151;1.1274;-64.9603;77.2101;352.5231;352.5373;355.1430;192.6579;0.5694;359.2955;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.6)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.5571;0.0250;0.0020
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0998;-65.0998;0.0010;0.0010;359.5127;359.5127;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0001;0.0001;0.0000;338144;71.73442;3713.97;-86.8839;54.3754;1.2151;1.1274;-64.9603;77.2101;352.5226;352.5361;355.1448;192.6584;0.5694;359.2953;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.0)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.7, -0.4, 0.6)_0.9354712_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.6, -0.4, 0.7)_0.9459894_System.String[];0.6270;0.0240;0.0020
