AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0007;0.0007;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;67056;71.64002;780.60;-87.0267;54.2556;1.0234;1.0890;-65.0313;77.2546;352.5448;352.5008;353.2581;186.9665;0.8143;0.0369;;;HandLeft_(0.1, -0.2, -0.4)_(0.7, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.0000;-0.0017;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0006;0.0006;359.5102;359.5102;0.0000;0.0000;0.0000;0.0000;0.0000;0.0004;0.0004;0.0000;67057;34.18833;780.69;-87.0267;54.2556;1.0234;1.0890;-65.0313;77.2546;352.5448;352.5008;353.2581;186.9665;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(-0.1, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.0904;-0.0017;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0006;0.0006;359.5095;359.5095;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0017;-0.0017;0.0000;67062;52.71035;780.76;-87.0267;54.2556;1.0234;1.0890;-65.0313;77.2547;352.5447;352.5009;353.2585;186.9664;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.1604;-0.0018;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0009;0.0009;359.5092;359.5092;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0007;-0.0007;0.0000;67067;64.13165;780.83;-87.0267;54.2556;1.0234;1.0890;-65.0314;77.2546;352.5450;352.5006;353.2571;186.9665;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.2301;-0.0018;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0008;0.0008;359.5092;359.5092;0.0000;0.0000;0.0000;0.0000;0.0000;0.0006;0.0006;0.0000;67072;69.04246;780.90;-87.0267;54.2556;1.0234;1.0890;-65.0314;77.2547;352.5450;352.5008;353.2581;186.9657;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.2997;-0.0018;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0006;0.0006;359.5100;359.5100;0.0000;0.0000;0.0000;0.0000;0.0000;0.0012;0.0012;0.0000;67077;70.74637;780.97;-87.0267;54.2556;1.0234;1.0890;-65.0314;77.2546;352.5447;352.5005;353.2586;186.9646;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.3696;-0.0018;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0005;0.0005;359.5093;359.5093;0.0000;0.0000;0.0000;0.0000;0.0000;0.0004;0.0004;0.0000;67082;71.45789;781.04;-87.0267;54.2556;1.0234;1.0890;-65.0313;77.2546;352.5446;352.5008;353.2584;186.9647;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.2)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.4392;-0.0018;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0006;0.0006;359.5078;359.5078;0.0000;0.0000;0.0000;0.0000;0.0000;0.0003;0.0003;0.0000;67087;71.43124;781.11;-87.0267;54.2556;1.0234;1.0890;-65.0314;77.2546;352.5447;352.5008;353.2563;186.9652;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.3, -0.7)_0.9200331_System.String[];0.5093;-0.0018;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0007;0.0007;359.5066;359.5066;0.0000;0.0000;0.0000;0.0000;0.0000;0.0002;0.0002;0.0000;67092;71.67494;781.18;-87.0267;54.2556;1.0234;1.0890;-65.0314;77.2546;352.5448;352.5010;353.2552;186.9651;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.4)_(0.6, 0.4, -0.6, 0.2)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9200331_System.String[];0.5790;-0.0018;-0.0103
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1001;-65.1001;0.0008;0.0008;359.5070;359.5070;0.0000;0.0000;0.0000;0.0000;0.0000;0.0002;0.0002;0.0000;67097;71.89194;781.25;-87.0267;54.2556;1.0234;1.0890;-65.0315;77.2546;352.5450;352.5010;353.2550;186.9648;0.8143;0.0369;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.1, -0.2, -0.4)_(0.8, 0.4, -0.5, 0.0)_0.9625502_System.String[];HandLeft_(-0.2, -0.2, -0.4)_(0.7, 0.4, -0.6, 0.2)_0.9200331_System.String[];HandRight_(0.3, -0.2, -0.4)_(0.0, 0.6, 0.4, -0.7)_0.9625502_System.String[];HandRight_(0.0, -0.2, -0.3)_(0.0, 0.6, 0.4, -0.7)_0.9200331_System.String[];0.6484;-0.0018;-0.0103
