AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.4920;0.0000;False;False;53.6000;63.9415;0.0462;0.0462;72.1999;106.2406;0.0031;0.0033;180.3439;235.6641;0.0000;0.0003; ; ; ; ; ; ;347811;71.60876;Infinity;4795.85;52.6557;63.8867;1.1786;1.2643;72.0071;105.7850;352.6293;352.5217;190.9232;239.6820;358.6274;359.4766;;;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.5, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.0000;0.0316;-0.0588;54.0090;63.9984;1.1358;1.1613;72.2275;105.8153;6.0452;356.9009;189.7760;244.0034;354.6020;358.9553
-0.4881;0.0000;False;False;53.6000;63.9414;0.0461;0.0461;72.1999;106.2406;0.0026;0.0026;180.3439;235.6646;0.0000;0.0002;-0.0016;-0.0002;-0.0002;0.0000;-0.0012;0.0000;347814;67.77184;Infinity;4795.90;52.6557;63.8867;1.1786;1.2643;72.0071;105.7850;352.6288;352.5211;190.9232;239.6826;358.6273;359.4764;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.0479;0.0316;-0.0588;54.0094;63.9968;1.1364;1.1607;72.2275;105.8177;6.0265;357.0789;189.7393;245.0120;354.6576;358.7450
-0.4801;0.0000;False;False;53.6000;63.9415;0.0461;0.0461;72.1999;106.2406;0.0022;0.0024;180.3439;235.6650;0.0000;0.0002;0.0001;-0.0002;-0.0002;0.0000;0.0001;0.0000;347817;69.38882;Infinity;4795.94;52.6557;63.8867;1.1786;1.2643;72.0071;105.7850;352.6283;352.5207;190.9232;239.6829;358.6272;359.4763;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.3, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.0898;0.0316;-0.0588;54.0099;63.9956;1.1367;1.1599;72.2274;105.8193;5.9846;357.2822;189.7388;245.6629;354.6901;358.5187
-0.4444;0.0000;False;False;53.6000;63.9415;0.0461;0.0461;72.1999;106.2406;0.0018;0.0019;180.3439;235.6649;0.0000;0.0001;0.0003;-0.0002;-0.0002;0.0000;0.0002;0.0000;347820;70.46357;Infinity;4795.98;52.6557;63.8867;1.1786;1.2643;72.0071;105.7850;352.6280;352.5203;190.9233;239.6830;358.6272;359.4763;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.1318;0.0316;-0.0588;54.0102;63.9945;1.1368;1.1590;72.2275;105.8209;5.9650;357.6371;189.7571;246.1740;354.7269;358.2616
-0.3968;0.0000;False;False;53.6000;63.9414;0.0461;0.0461;72.1999;106.2406;0.0015;0.0015;180.3439;235.6645;0.0000;0.0001;0.0001;-0.0002;-0.0002;0.0000;0.0000;0.0000;347823;70.87057;Infinity;4796.03;52.6557;63.8867;1.1786;1.2643;72.0071;105.7850;352.6277;352.5199;190.9233;239.6823;358.6271;359.4762;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.1738;0.0316;-0.0589;54.0104;63.9935;1.1370;1.1581;72.2281;105.8224;5.9391;358.0659;189.7792;246.6517;354.7523;358.0961
-0.3373;0.0000;False;False;53.6000;63.9414;0.0461;0.0461;72.1999;106.2406;0.0013;0.0012;180.3439;235.6647;0.0000;0.0001;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;347826;71.09376;Infinity;4796.07;52.6557;63.8867;1.1786;1.2643;72.0071;105.7850;352.6274;352.5195;190.9233;239.6826;358.6271;359.4761;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.0)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.2158;0.0316;-0.0589;54.0106;63.9925;1.1374;1.1573;72.2282;105.8238;5.9010;358.4969;189.7892;247.1724;354.7568;358.0333
-0.2738;0.0000;False;False;53.6000;63.9414;0.0461;0.0461;72.1999;106.2406;0.0012;0.0012;180.3439;235.6649;0.0000;0.0001;0.0013;-0.0001;-0.0002;0.0000;0.0010;0.0000;347829;71.36977;Infinity;4796.11;52.6557;63.8867;1.1786;1.2643;72.0071;105.7850;352.6273;352.5194;190.9233;239.6826;358.6270;359.4761;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.2578;0.0316;-0.0589;54.0107;63.9915;1.1376;1.1565;72.2284;105.8252;5.8480;358.8904;189.8067;247.7112;354.7747;358.0233
-0.2262;0.0000;False;False;53.6000;63.9415;0.0461;0.0461;72.1999;106.2406;0.0010;0.0011;180.3439;235.6651;0.0000;0.0001;-0.0001;-0.0001;-0.0001;0.0000;-0.0001;0.0000;347832;71.67242;Infinity;4796.15;52.6557;63.8867;1.1786;1.2642;72.0071;105.7850;352.6271;352.5194;190.9233;239.6832;358.6270;359.4761;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.0)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.2993;0.0316;-0.0589;54.0109;63.9908;1.1382;1.1560;72.2291;105.8263;5.7566;359.1904;189.8300;248.1702;354.7891;358.0500
-0.1905;0.0000;False;False;53.6000;63.9414;0.0461;0.0461;72.1999;106.2406;0.0009;0.0009;180.3439;235.6646;0.0000;0.0000;0.0003;-0.0001;-0.0001;0.0000;0.0002;0.0000;347835;71.63178;Infinity;4796.19;52.6557;63.8867;1.1786;1.2642;72.0071;105.7850;352.6270;352.5192;190.9233;239.6823;358.6270;359.4761;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.0)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.5, -0.4, 0.8)_0.987276_System.String[];0.3413;0.0316;-0.0590;54.0109;63.9902;1.1384;1.1557;72.2294;105.8271;5.6540;359.4309;189.8688;248.5025;354.8322;358.0452
-0.1706;0.0000;False;False;53.6000;63.9414;0.0461;0.0461;72.1999;106.2406;0.0008;0.0009;180.3439;235.6651;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;347838;71.40935;Infinity;4796.24;52.6557;63.8867;1.1786;1.2642;72.0071;105.7850;352.6269;352.5192;190.9233;239.6823;358.6270;359.4761;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.6, -0.5, 0.0)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.5, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.0, -0.5, -0.4, 0.8)_0.987276_System.String[];0.3833;0.0316;-0.0591;54.0110;63.9897;1.1386;1.1552;72.2296;105.8279;5.5691;359.5708;189.9381;248.7252;354.8448;358.0447
