AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.7000;0.0007;0.0007;208.4238;217.2918;0.0000;0.0000; ; ; ; ; ; ;575090;71.81535;Infinity;7967.52;81.2224;107.5282;1.1238;1.2322;25.4233;69.3802;352.5678;352.5049;216.1394;219.2213;358.9960;359.7482;;;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.6, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(-0.2, 0.6, 0.4, -0.7)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.0000;-0.0076;-0.0054;82.4466;107.6587;1.1606;1.1411;24.8902;69.3755;3.9218;4.5839;224.1333;217.7093;3.1019;0.6169
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.7000;0.0008;0.0007;208.4245;217.2905;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0001;0.0000;0.0000;575093;68.63226;Infinity;7967.56;81.2224;107.5282;1.1238;1.2322;25.4233;69.3802;352.5679;352.5049;216.1397;219.2204;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.6, -0.1)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(-0.2, 0.6, 0.4, -0.7)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.0469;-0.0076;-0.0054;82.4469;107.6584;1.1608;1.1414;24.8914;69.3761;3.7505;4.4341;224.5555;217.8741;3.0671;0.5216
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.7000;0.0008;0.0007;208.4252;217.2895;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0001;0.0001;-0.0001;575096;70.19933;Infinity;7967.60;81.2224;107.5282;1.1238;1.2322;25.4233;69.3802;352.5679;352.5049;216.1408;219.2194;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.1)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(-0.1, 0.5, 0.4, -0.7)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.0884;-0.0076;-0.0054;82.4471;107.6582;1.1609;1.1416;24.8921;69.3765;3.5899;4.3291;224.7313;217.9735;3.0143;0.4566
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.7000;0.0007;0.0006;208.4245;217.2884;0.0000;0.0000;0.0001;0.0000;0.0000;0.0003;0.0001;0.0002;575099;71.05753;Infinity;7967.65;81.2224;107.5282;1.1238;1.2322;25.4233;69.3802;352.5679;352.5049;216.1401;219.2180;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, -0.1)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(-0.1, 0.5, 0.4, -0.7)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.1299;-0.0076;-0.0054;82.4475;107.6580;1.1609;1.1417;24.8930;69.3767;3.4533;4.2661;224.7827;218.0275;2.9503;0.3947
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.6999;0.0007;0.0006;208.4246;217.2878;0.0000;0.0000;0.0000;0.0000;0.0000;0.0008;0.0000;0.0004;575102;71.43802;Infinity;7967.69;81.2224;107.5282;1.1238;1.2322;25.4233;69.3802;352.5679;352.5048;216.1403;219.2175;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, 0.0)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.0, 0.5, 0.4, -0.8)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.1719;-0.0076;-0.0054;82.4479;107.6580;1.1608;1.1418;24.8939;69.3768;3.4124;4.2235;224.7695;218.0403;2.9070;0.3693
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.6999;0.0007;0.0005;208.4239;217.2868;0.0000;0.0000;-0.0003;0.0000;0.0000;0.0003;-0.0004;0.0002;575105;71.47758;Infinity;7967.73;81.2224;107.5282;1.1238;1.2322;25.4233;69.3802;352.5679;352.5048;216.1394;219.2166;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, 0.0)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.0, 0.5, 0.4, -0.8)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.2139;-0.0076;-0.0054;82.4481;107.6579;1.1608;1.1418;24.8949;69.3769;3.4442;4.2153;224.7118;218.0211;2.8525;0.3572
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.6999;0.0008;0.0007;208.4251;217.2857;0.0000;0.0000;-0.0004;0.0000;0.0000;0.0010;-0.0005;0.0005;575108;71.47948;Infinity;7967.77;81.2224;107.5282;1.1238;1.2322;25.4234;69.3802;352.5679;352.5049;216.1405;219.2156;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, 0.0)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.0, 0.5, 0.4, -0.8)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.2559;-0.0076;-0.0054;82.4481;107.6579;1.1607;1.1419;24.8959;69.3770;3.4579;4.1956;224.6441;218.0043;2.7492;0.3142
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2001;69.6999;0.0008;0.0008;208.4269;217.2846;0.0000;0.0000;0.0012;0.0000;0.0000;0.0002;0.0016;0.0001;575111;71.39693;Infinity;7967.81;81.2224;107.5282;1.1238;1.2322;25.4234;69.3802;352.5680;352.5049;216.1419;219.2141;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, 0.0)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, 0.5, 0.4, -0.8)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.2979;-0.0076;-0.0054;82.4479;107.6579;1.1602;1.1419;24.8968;69.3770;3.5155;4.1391;224.5695;218.0409;2.5805;0.1035
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.6999;0.0006;0.0007;208.4275;217.2846;0.0000;0.0000;0.0009;0.0000;0.0000;-0.0009;0.0012;-0.0005;575114;71.3182;Infinity;7967.85;81.2224;107.5282;1.1238;1.2322;25.4234;69.3802;352.5678;352.5049;216.1426;219.2139;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, 0.0)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, 0.5, 0.4, -0.7)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.3398;-0.0076;-0.0054;82.4474;107.6577;1.1595;1.1418;24.8979;69.3775;3.5730;4.0280;224.5088;218.2145;2.3541;359.7808
0.0000;0.0000;False;False;82.2000;107.4000;-0.0139;-0.0139;25.2000;69.6999;0.0006;0.0008;208.4269;217.2851;0.0000;0.0000;0.0000;0.0000;0.0000;0.0010;0.0000;0.0006;575117;71.63293;Infinity;7967.90;81.2224;107.5282;1.1238;1.2322;25.4234;69.3802;352.5677;352.5050;216.1429;219.2139;358.9960;359.7482;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.7, 0.4, -0.6, 0.0)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.5, 0.2)_0.9371935_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.0, 0.6, 0.4, -0.7)_1.025066_System.String[];HandRight_(0.0, -0.4, -0.2)_(-0.2, -0.5, -0.6, 0.6)_0.9371935_System.String[];0.3818;-0.0076;-0.0054;82.4468;107.6574;1.1587;1.1418;24.8989;69.3782;3.6805;3.9007;224.4901;218.4964;2.1577;359.5198
