AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;-86.5000;54.0000;0.8282;1.1026;-65.1000;77.4000;0.0000;359.1922;359.5096;187.2451;0.0000;359.8115; ; ; ; ; ; ;97273;71.82978;Infinity;676.50;-87.5607;54.2672;2.1409;2.3581;-64.5691;77.1621;352.6233;351.7058;9.9704;182.4011;358.6420;0.5128;;;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.4, -0.8, -0.3, 0.4)_0.8421519_System.String[];0.0000;0.0199;-0.0184;-86.9179;54.3223;1.9767;2.2192;-64.8907;77.0893;354.5894;355.9991;3.2550;191.9807;3.6268;359.1208
0.0000;0.0000;False;False;-86.5000;54.0000;0.7207;0.9659;-65.1000;77.4000;0.0000;359.1922;359.5096;187.2451;0.0000;359.8115;0.0000;-2.2938;-2.8502;0.0000;0.0000;0.0000;97276;65.61041;Infinity;676.55;-87.5607;54.2672;2.0406;2.2286;-64.5691;77.1621;352.6233;351.7058;9.9704;182.4011;358.6420;0.5128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.4, -0.8, -0.3, 0.4)_0.8421519_System.String[];0.0521;0.0199;-0.0184;-86.9178;54.3219;1.8768;2.0870;-64.8905;77.0922;354.5538;357.7095;3.2055;192.5824;3.6370;358.8776
0.0000;0.0000;False;False;-86.5000;54.0000;0.6167;0.8389;-65.1000;77.4000;0.0000;359.1922;359.5096;187.2451;0.0000;359.8115;0.0000;-2.6654;-3.2174;0.0000;0.0000;0.0000;97279;68.57631;Infinity;676.59;-87.5607;54.2672;1.9421;2.1070;-64.5691;77.1621;352.6233;351.7058;9.9704;182.4011;358.6420;0.5128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.4, -0.8, -0.3, 0.4)_0.8421519_System.String[];0.0938;0.0199;-0.0184;-86.9177;54.3217;1.7788;1.9641;-64.8903;77.0942;354.5298;358.6053;3.1831;192.9107;3.6191;358.7943
0.0000;0.0000;False;False;-86.5000;54.0000;0.4946;0.6935;-65.1000;77.4000;0.0000;359.1922;359.5096;187.2451;0.0000;359.8115;0.0000;-3.0341;-3.5817;0.0000;0.0000;0.0000;97282;69.69476;Infinity;676.63;-87.5607;54.2672;1.8257;1.9673;-64.5691;77.1621;352.6233;351.7058;9.9704;182.4011;358.6420;0.5128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.4, -0.8, -0.3, 0.4)_0.8421519_System.String[];0.1361;0.0199;-0.0184;-86.9176;54.3217;1.6635;1.8235;-64.8900;77.0959;354.5191;358.9520;3.2116;192.9696;3.5646;358.9230
0.0000;0.0000;False;False;-86.5000;54.0000;0.3585;0.5347;-65.1000;77.4000;0.0000;359.1922;359.5096;187.2451;0.0000;359.8115;0.0000;-3.3999;-3.9431;0.0000;0.0000;0.0000;97285;70.80331;Infinity;676.68;-87.5607;54.2672;1.6944;1.8131;-64.5691;77.1621;352.6233;351.7058;9.9704;182.4011;358.6420;0.5128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.4, -0.8, -0.3, 0.4)_0.8421519_System.String[];0.1778;0.0199;-0.0184;-86.9175;54.3221;1.5332;1.6686;-64.8896;77.0975;354.4951;359.1267;3.2837;192.7673;3.4616;359.1302
0.0000;0.0000;False;False;-86.5000;54.0000;0.2065;0.3601;-65.1000;77.4000;0.0000;359.1922;359.5096;187.2451;0.0000;359.8115;0.0000;-3.7628;-4.3017;0.0000;0.0000;0.0000;97288;71.36143;Infinity;676.72;-87.5607;54.2672;1.5474;1.6435;-64.5691;77.1621;352.6233;351.7058;9.9704;182.4011;358.6420;0.5128;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.4, -0.8, -0.3, 0.4)_0.8421519_System.String[];0.2195;0.0199;-0.0184;-86.9171;54.3224;1.3871;1.4989;-64.8895;77.0990;354.4248;359.1901;3.3915;192.4031;3.3154;359.3130
0.0000;0.0000;False;False;-86.5000;54.0000;0.0923;0.1749;-65.0995;77.4014;359.9266;359.4120;359.5100;187.2504;0.0000;359.8690;0.0157;-1.8470;-3.3491;0.0042;0.0016;0.0001;97291;71.32509;Infinity;676.76;-87.5607;54.2673;1.4149;1.4601;-64.5698;77.1611;352.5808;351.7725;9.9716;182.4013;358.6342;0.5244;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.6, -0.1)_(-0.4, -0.8, -0.3, 0.4)_0.8421519_System.String[];0.2615;0.0199;-0.0184;-86.9166;54.3232;1.2550;1.3155;-64.8901;77.0998;354.3148;359.0933;3.5682;192.0026;3.1572;359.4437
0.0000;0.0000;False;False;-86.5000;54.0002;0.0246;0.0510;-65.0987;77.4023;359.8266;359.5803;359.5124;187.2533;0.0001;359.9419;0.0070;-1.0609;-1.9970;0.0004;-0.0008;0.0001;97294;70.98106;Infinity;676.80;-87.5607;54.2687;1.3335;1.3079;-64.5712;77.1566;352.4849;352.0616;9.9769;182.3985;358.6163;0.5939;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.5, -0.6, 0.4)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.5, -0.2, -0.4, 0.7)_0.8421519_System.String[];0.3040;0.0199;-0.0184;-86.9162;54.3249;1.1735;1.1631;-64.8910;77.0977;354.1610;359.1345;3.7999;191.6452;3.0412;359.5814
0.0000;0.0000;False;False;-86.5000;54.0002;-0.0116;-0.0184;-65.0983;77.4026;359.7439;359.6332;359.5130;187.2554;0.0000;359.9819;0.0032;-0.5327;-1.0777;-0.0067;-0.0003;0.0000;97297;71.21842;Infinity;676.84;-87.5607;54.2696;1.2887;1.2217;-64.5726;77.1551;352.3957;352.1479;9.9800;182.3950;358.5997;0.6367;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.4, -0.2, -0.4, 0.8)_0.8421519_System.String[];0.3459;0.0201;-0.0184;-86.9157;54.3263;1.1285;1.0772;-64.8919;77.0981;354.0723;358.9324;4.0354;191.4390;2.9604;359.6439
0.0000;0.0000;False;False;-86.5000;54.0002;-0.0278;-0.0527;-65.0980;77.4027;359.6897;359.6432;359.5129;187.2577;0.0000;0.0024;0.0014;-0.1899;-0.4715;0.0005;-0.0016;0.0000;97300;71.59756;Infinity;676.89;-87.5606;54.2700;1.2673;1.1770;-64.5738;77.1547;352.3329;352.1696;9.9810;182.3956;358.5879;0.6612;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, 0.0)_(0.0, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.4, -0.3, -0.4, 0.7)_0.8421519_System.String[];0.3876;0.0201;-0.0184;-86.9153;54.3278;1.1073;1.0338;-64.8927;77.0995;354.0958;358.2260;4.2552;191.2691;2.8729;359.6742
