AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;81.0286;-87.5998;-0.0356;-0.0706;-75.3290;87.9994;359.6739;359.7722;271.6657;160.9101;0.0976;359.9937; ; ; ; ; ; ;157865;71.4929;Infinity;2169.24;80.7555;-87.2049;1.1873;1.1440;-75.6889;87.8967;352.2216;352.3213;270.3525;165.5155;0.2689;359.3773;;;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.0000;-0.0299;-0.0035;80.8216;-87.1450;1.1064;1.0340;-75.6892;87.8752;356.5693;343.7430;275.2458;164.2941;1.2710;358.9816
0.0000;0.0000;False;False;81.0282;-87.5997;-0.0726;-0.0866;-75.3288;87.9993;359.5554;359.7165;271.6655;160.9107;0.1081;359.9934;-0.0015;-0.4613;-0.1386;0.0006;0.0043;0.0048;157868;67.17256;Infinity;2169.29;80.7579;-87.2053;1.1401;1.1212;-75.6890;87.8979;352.0879;352.2533;270.3507;165.5169;0.2863;359.3713;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.0491;-0.0299;-0.0035;80.8230;-87.1448;1.0598;1.0114;-75.6901;87.8755;356.3578;343.6844;275.1837;163.9642;1.3382;359.1308
0.0000;0.0000;False;False;81.0281;-87.5998;-0.0845;-0.0879;-75.3288;87.9993;359.4963;359.6995;271.6667;160.9104;0.1107;359.9933;-0.0016;-0.1363;0.0609;-0.0007;0.0045;0.0073;157871;69.33941;Infinity;2169.33;80.7592;-87.2055;1.1234;1.1169;-75.6891;87.8985;352.0157;352.2271;270.3497;165.5172;0.2922;359.3690;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.0908;-0.0299;-0.0035;80.8241;-87.1443;1.0432;1.0076;-75.6913;87.8754;356.2394;343.6839;275.0920;163.6163;1.4138;359.3319
0.0000;0.0000;False;False;81.0282;-87.5998;-0.0853;-0.0825;-75.3288;87.9995;359.4730;359.7066;271.6671;160.9109;0.1103;359.9933;-0.0015;0.0616;0.1726;-0.0016;0.0041;0.0044;157874;70.45135;Infinity;2169.37;80.7600;-87.2055;1.1197;1.1205;-75.6892;87.8985;351.9811;352.2268;270.3500;165.5169;0.2934;359.3690;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.1328;-0.0299;-0.0035;80.8242;-87.1435;1.0397;1.0119;-75.6922;87.8749;356.1895;343.7377;274.9284;163.2316;1.4996;359.5109
0.0000;0.0000;False;False;81.0286;-87.5999;-0.0797;-0.0738;-75.3289;87.9997;359.4785;359.7316;271.6703;160.9091;0.1088;359.9933;-0.0007;0.1724;0.2257;-0.0021;0.0017;0.0081;157877;70.93929;Infinity;2169.42;80.7603;-87.2055;1.1236;1.1283;-75.6892;87.8984;351.9782;352.2469;270.3531;165.5164;0.2921;359.3706;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.4, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.1748;-0.0299;-0.0035;80.8238;-87.1426;1.0443;1.0207;-75.6935;87.8742;356.1705;343.7968;274.6805;162.8472;1.6313;359.6339
0.0000;0.0000;False;False;81.0291;-87.6000;-0.0710;-0.0639;-75.3290;88.0000;359.5038;359.7671;271.6737;160.9096;0.1068;359.9934;-0.0005;0.2250;0.2413;-0.0024;0.0013;0.0087;157880;71.38155;Infinity;2169.46;80.7603;-87.2054;1.1316;1.1379;-75.6892;87.8981;351.9981;352.2797;270.3565;165.5150;0.2897;359.3734;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.2166;-0.0299;-0.0035;80.8234;-87.1415;1.0526;1.0314;-75.6948;87.8735;356.2331;343.8287;274.4036;162.4296;1.8139;359.7646
0.0000;0.0000;False;False;81.0296;-87.6001;-0.0611;-0.0540;-75.3292;88.0003;359.5407;359.8075;271.6794;160.9100;0.1048;359.9935;-0.0005;0.2404;0.2339;-0.0025;0.0014;0.0058;157883;71.67642;Infinity;2169.50;80.7601;-87.2052;1.1411;1.1478;-75.6893;87.8975;352.0321;352.3188;270.3627;165.5150;0.2870;359.3766;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.2583;-0.0299;-0.0035;80.8230;-87.1403;1.0624;1.0428;-75.6962;87.8730;356.2923;343.8224;274.1314;162.0175;2.0252;359.8652
0.0000;0.0000;False;False;81.0302;-87.6002;-0.0512;-0.0449;-75.3293;88.0006;359.5836;359.8488;271.6830;160.9086;0.1031;359.9935;-0.0006;0.2240;0.2011;-0.0026;0.0015;0.0074;157886;71.75043;Infinity;2169.54;80.7598;-87.2050;1.1509;1.1570;-75.6893;87.8970;352.0734;352.3600;270.3670;165.5143;0.2842;359.3800;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.3000;-0.0299;-0.0035;80.8226;-87.1392;1.0726;1.0534;-75.6975;87.8725;356.2843;343.7593;273.8827;161.6345;2.2481;359.9818
0.0000;0.0000;False;False;81.0308;-87.6003;-0.0421;-0.0368;-75.3294;88.0008;359.6276;359.8884;271.6876;160.9085;0.1017;359.9936;0.0000;0.2002;0.1735;-0.0025;-0.0002;0.0081;157889;71.57631;Infinity;2169.58;80.7595;-87.2048;1.1601;1.1654;-75.6894;87.8965;352.1174;352.4004;270.3716;165.5134;0.2816;359.3834;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.3420;-0.0299;-0.0035;80.8222;-87.1380;1.0823;1.0633;-75.6987;87.8720;356.2256;343.6538;273.6884;161.2923;2.4610;0.1135
0.0000;0.0000;False;False;81.0314;-87.6004;-0.0341;-0.0299;-75.3295;88.0011;359.6692;359.9237;271.6909;160.9099;0.1005;359.9937;-0.0005;0.1728;0.1457;-0.0024;0.0014;0.0082;157892;71.51474;Infinity;2169.63;80.7591;-87.2046;1.1683;1.1725;-75.6894;87.8960;352.1600;352.4371;270.3755;165.5136;0.2793;359.3864;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.2)_(0.7, 0.6, -0.5, 0.2)_1.014616_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.3)_1.002244_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.1, 0.6, 0.5, -0.6)_1.014616_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_1.002244_System.String[];0.3840;-0.0299;-0.0035;80.8225;-87.1370;1.0908;1.0720;-75.6998;87.8715;356.1471;343.5711;273.5490;161.0451;2.6392;0.2277
