AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;54.7020;54.7020;0.0008;0.0008;-115.2019;-115.2019;0.4409;0.4409;305.8757;305.8757;0.2039;0.2039; ; ; ; ; ; ;266433;71.61173;3359.03;54.2855;98.6920;1.2434;1.4544;-115.3852;54.6314;353.2309;352.5943;290.8803;223.7198;2.0176;358.8154;;;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.3, -0.5, -0.2)_(0.0, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.0000;-0.0145;-0.0063
0.0000;0.0000;False;False;54.7018;54.7018;0.0008;0.0008;-115.2018;-115.2018;0.4403;0.4403;305.8757;305.8757;0.2034;0.2034;-0.0052;-0.0001;-0.0001;0.0027;0.0027;-0.0052;266437;64.44487;3359.10;54.2854;98.6919;1.2434;1.4544;-115.3852;54.6314;353.2303;352.5942;290.8804;223.7195;2.0173;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.3, -0.5, -0.2)_(0.0, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.0713;-0.0145;-0.0063
0.0000;0.0000;False;False;54.7013;54.7013;0.0008;0.0008;-115.2016;-115.2016;0.4393;0.4393;305.8759;305.8759;0.2032;0.2032;-0.0087;-0.0001;-0.0001;0.0051;0.0051;-0.0087;266442;69.26782;3359.17;54.2850;98.6919;1.2434;1.4544;-115.3850;54.6314;353.2294;352.5943;290.8804;223.7195;2.0173;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.3, -0.5, -0.2)_(0.0, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.1409;-0.0145;-0.0063
0.0000;0.0000;False;False;54.7006;54.7006;0.0008;0.0008;-115.2011;-115.2011;0.4387;0.4387;305.8757;305.8757;0.2033;0.2033;-0.0141;-0.0001;-0.0001;0.0089;0.0089;-0.0141;266447;70.8521;3359.24;54.2843;98.6919;1.2434;1.4544;-115.3846;54.6313;353.2287;352.5941;290.8803;223.7202;2.0175;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.3, -0.5, -0.2)_(-0.1, -0.5, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.2107;-0.0145;-0.0063
0.0000;0.0000;False;False;54.6996;54.6996;0.0008;0.0008;-115.2005;-115.2005;0.4380;0.4380;305.8752;305.8752;0.2034;0.2034;-0.0150;-0.0002;-0.0002;0.0095;0.0095;-0.0150;266452;71.35213;3359.31;54.2834;98.6919;1.2434;1.4544;-115.3840;54.6313;353.2280;352.5943;290.8797;223.7205;2.0178;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.3, -0.5, -0.2)_(-0.1, -0.5, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.2805;-0.0145;-0.0063
0.0000;0.0000;False;False;54.6983;54.6983;0.0008;0.0008;-115.1997;-115.1997;0.4374;0.4374;305.8727;305.8727;0.2035;0.2035;-0.0212;-0.0002;-0.0002;0.0140;0.0140;-0.0212;266457;71.57272;3359.38;54.2822;98.6919;1.2434;1.4544;-115.3832;54.6313;353.2275;352.5944;290.8781;223.7193;2.0180;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.3, -0.5, -0.2)_(-0.1, -0.5, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.3501;-0.0145;-0.0063
0.0000;0.0000;False;False;54.6968;54.6968;0.0008;0.0008;-115.1987;-115.1987;0.4368;0.4368;305.8740;305.8740;0.2035;0.2035;-0.0241;-0.0002;-0.0002;0.0161;0.0161;-0.0241;266462;71.65101;3359.45;54.2807;98.6919;1.2434;1.4544;-115.3823;54.6313;353.2269;352.5944;290.8782;223.7202;2.0182;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.4199;-0.0145;-0.0063
0.0000;0.0032;False;False;54.6950;54.6950;0.0007;0.0007;-115.1975;-115.1975;0.4365;0.4365;305.8748;305.8748;0.2036;0.2036;-0.0284;-0.0003;-0.0003;0.0191;0.0191;-0.0284;266467;71.83144;3359.52;54.2790;98.6919;1.2434;1.4544;-115.3811;54.6313;353.2267;352.5942;290.8797;223.7193;2.0184;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.6, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.4895;-0.0145;-0.0063
0.0000;0.0107;False;False;54.6930;54.6930;0.0007;0.0007;-115.1961;-115.1961;0.4364;0.4364;305.8723;305.8723;0.2036;0.2036;-0.0312;-0.0003;-0.0003;0.0212;0.0212;-0.0312;266472;71.74082;3359.59;54.2770;98.6919;1.2433;1.4544;-115.3798;54.6313;353.2265;352.5941;290.8775;223.7189;2.0184;358.8154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.6, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.5593;-0.0145;-0.0063
0.0000;0.0247;False;False;54.6907;54.6907;0.0007;0.0007;-115.1945;-115.1945;0.4362;0.4362;305.8701;305.8701;0.2036;0.2036;-0.0349;-0.0003;-0.0003;0.0238;0.0238;-0.0349;266477;71.88177;3359.66;54.2748;98.6918;1.2433;1.4544;-115.3783;54.6311;353.2263;352.5938;290.8746;223.7202;2.0185;358.8153;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.4, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.6, -0.5, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.6289;-0.0145;-0.0063
0.0000;0.0472;False;False;54.6881;54.6881;0.0007;0.0007;-115.1928;-115.1928;0.4360;0.4360;305.8694;305.8694;0.2036;0.2036;-0.0384;-0.0003;-0.0003;0.0263;0.0263;-0.0384;266482;71.88728;3359.73;54.2723;98.6916;1.2433;1.4544;-115.3766;54.6308;353.2261;352.5933;290.8740;223.7194;2.0186;358.8152;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.6, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.6985;-0.0145;-0.0075
0.0000;0.0814;False;False;54.6853;54.6853;0.0007;0.0007;-115.1909;-115.1909;0.4359;0.4359;305.8689;305.8689;0.2036;0.2036;-0.0414;-0.0004;-0.0004;0.0284;0.0284;-0.0414;266487;71.96684;3359.80;54.2695;98.6911;1.2433;1.4544;-115.3747;54.6302;353.2260;352.5922;290.8740;223.7191;2.0186;358.8150;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.6, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.3, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.7678;-0.0145;-0.0128
0.0000;0.1206;False;False;54.6823;54.6823;0.0006;0.0006;-115.1888;-115.1888;0.4359;0.4359;305.8678;305.8678;0.2036;0.2036;-0.0444;-0.0004;-0.0004;0.0306;0.0306;-0.0444;266492;71.88098;3359.87;54.2666;98.6902;1.2432;1.4544;-115.3727;54.6288;353.2260;352.5900;290.8723;223.7195;2.0186;358.8146;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.5, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.4, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.8374;-0.0145;-0.0186
0.0000;0.1564;False;False;54.6791;54.6791;0.0006;0.0006;-115.1866;-115.1866;0.4360;0.4360;305.8657;305.8657;0.2036;0.2036;-0.0472;-0.0004;-0.0004;0.0326;0.0326;-0.0472;266497;71.87521;3359.94;54.2634;98.6886;1.2432;1.4544;-115.3705;54.6264;353.2261;352.5870;290.8711;223.7200;2.0186;358.8141;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.6, -0.4, -0.7)_(0.6, 0.6, -0.6, 0.2)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.4, -0.7)_(-0.1, -0.4, -0.5, 0.7)_0.9278784_System.String[];0.9070;-0.0145;-0.0194
0.0000;0.1946;False;False;54.6756;54.6756;0.0006;0.0006;-115.1842;-115.1842;0.4360;0.4360;305.8636;305.8636;0.2036;0.2036;-0.0517;-0.0005;-0.0005;0.0358;0.0358;-0.0517;266502;71.58295;3360.01;54.2600;98.6861;1.2432;1.4544;-115.3681;54.6228;353.2261;352.5832;290.8685;223.7175;2.0186;358.8133;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.0, -0.5, -0.2)_(-0.7, -0.5, 0.5, -0.2)_1.032621_System.String[];HandLeft_(0.5, -0.4, -0.7)_(0.6, 0.6, -0.6, 0.1)_0.9278784_System.String[];HandRight_(0.2, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_1.032621_System.String[];HandRight_(0.8, -0.4, -0.7)_(-0.1, -0.5, -0.5, 0.7)_0.9278784_System.String[];0.9771;-0.0145;-0.0194
